"YEAR","MONTH","AverageMonthlyPrecip","YearMonth"
2005,3,0.59,2005-03-01
2005,4,0.634166666666667,2005-04-01
2005,5,0.63,2005-05-01
2005,6,1.10866666666667,2005-06-01
2005,7,0.611,2005-07-01
2005,8,0.965,2005-08-01
2005,9,0.4225,2005-09-01
2005,10,1.15333333333333,2005-10-01
2005,11,0.852,2005-11-01
2005,12,0.752,2005-12-01
2006,1,0.782727272727273,2006-01-01
2006,2,0.32,2006-02-01
2006,3,0.3775,2006-03-01
2006,4,0.617777777777778,2006-04-01
2006,5,0.246666666666667,2006-05-01
2006,6,0.548888888888889,2006-06-01
2006,7,0.283,2006-07-01
2006,8,0.47,2006-08-01
2006,9,0.622727272727273,2006-09-01
2006,10,0.985714285714286,2006-10-01
2006,11,1.315,2006-11-01
2006,12,1.24285714285714,2006-12-01
2007,1,0.525,2007-01-01
2007,2,0.403333333333333,2007-02-01
2007,3,0.721666666666667,2007-03-01
2007,4,0.791428571428571,2007-04-01
2007,5,0.26,2007-05-01
2007,6,0.831,2007-06-01
2007,7,0.631111111111111,2007-07-01
2007,8,0.601666666666667,2007-08-01
2007,9,0.73,2007-09-01
2007,10,0.82,2007-10-01
2007,11,0.552857142857143,2007-11-01
2007,12,0.44,2007-12-01
2008,1,0.563636363636364,2008-01-01
2008,2,0.624,2008-02-01
2008,3,1.43857142857143,2008-03-01
2008,4,0.49,2008-04-01
2008,5,0.438,2008-05-01
2008,6,0.323333333333333,2008-06-01
2008,7,0.309090909090909,2008-07-01
2008,8,2.422,2008-08-01
2008,9,0.144285714285714,2008-09-01
2008,10,0.814,2008-10-01
2008,11,0.622857142857143,2008-11-01
2008,12,0.746,2008-12-01
2009,1,0.591538461538462,2009-01-01
2009,2,0.91,2009-02-01
2009,3,0.801,2009-03-01
2009,4,0.687777777777778,2009-04-01
2009,5,0.663157894736842,2009-05-01
2009,6,0.261111111111111,2009-06-01
2009,7,0.455384615384615,2009-07-01
2009,8,0.325,2009-08-01
2009,9,1.22416666666667,2009-09-01
2009,10,0.716666666666667,2009-10-01
2009,11,1.075,2009-11-01
2009,12,0.806428571428571,2009-12-01
2010,1,0.603846153846154,2010-01-01
2010,2,0.634444444444444,2010-02-01
2010,3,0.378461538461538,2010-03-01
2010,4,0.932,2010-04-01
2010,5,0.581818181818182,2010-05-01
2010,6,0.315,2010-06-01
2010,7,0.36,2010-07-01
2010,8,0.584,2010-08-01
2010,9,1.07166666666667,2010-09-01
2010,10,1.148,2010-10-01
2010,11,0.918888888888889,2010-11-01
2010,12,0.632857142857143,2010-12-01
2011,1,0.384,2011-01-01
2011,2,0.573333333333333,2011-02-01
2011,3,1.33636363636364,2011-03-01
2011,4,1.02545454545455,2011-04-01
2011,5,0.9925,2011-05-01
2011,6,0.6975,2011-06-01
2011,7,0.323333333333333,2011-07-01
2011,8,0.204,2011-08-01
2011,9,1.0075,2011-09-01
2011,10,0.516666666666667,2011-10-01
2011,11,0.866666666666667,2011-11-01
2011,12,1.18857142857143,2011-12-01
2012,1,0.602,2012-01-01
2012,2,0.250666666666667,2012-02-01
2012,3,0.414,2012-03-01
2012,4,0.866666666666667,2012-04-01
2012,5,0.452142857142857,2012-05-01
2012,6,0.282,2012-06-01
2012,7,0.621111111111111,2012-07-01
2012,8,0.257647058823529,2012-08-01
2012,9,0.422307692307692,2012-09-01
2012,10,1.0425,2012-10-01
2012,11,0.34,2012-11-01
2012,12,0.773,2012-12-01
2013,1,1.31875,2013-01-01
2013,2,0.514285714285714,2013-02-01
2013,3,0.605454545454545,2013-03-01
2013,4,0.866363636363636,2013-04-01
2013,5,0.279,2013-05-01
2013,6,0.398260869565217,2013-06-01
2013,7,0.7376,2013-07-01
2013,8,0.228888888888889,2013-08-01
2013,9,0.502222222222222,2013-09-01
2013,10,0.248,2013-10-01
2013,11,0.377894736842105,2013-11-01
2013,12,0.600454545454545,2013-12-01
